Series,Level,Model,n_exc,n_exp,CoverageRate,LR_uc,p_uc,LR_ind,p_ind,LR_cc,p_cc,ES_Z2,ES_p
ETH-USD,0.975,"MSGARCH(1,1)",5,7.9000,0.0158,1.2530,0.2630,0.1613,0.6880,1.4143,0.4930,-0.4268,0.2300
DJIA,0.975,"MSGARCH(1,1)",11,6.9750,0.0394,2.0322,0.1540,0.9066,0.3410,2.9388,0.2301,0.4474,0.2800
SP500,0.975,"MSGARCH(1,1)",11,6.9750,0.0394,2.0322,0.1540,0.5969,0.4398,2.6291,0.2686,0.4729,0.2400
GOLD,0.975,"MSGARCH(1,1)",28,6.9750,0.1004,37.4514,0.0000,0.3216,0.5707,37.7730,0.0000,4.0288,0.0000
OIL,0.975,"MSGARCH(1,1)",12,6.9750,0.0430,3.0652,0.0800,2.8486,0.0915,5.9138,0.0520,1.3885,0.0020
Combined (Fisher),0.975,"MSGARCH(1,1)",—,—,—,—,0.0189,—,0.5227,—,0.0752,—,0.0052
BTC-USD,0.975,NN-GARCH,20,10.7750,0.0464,6.4942,0.0108,1.0476,0.3061,7.5418,0.0230,0.9931,0.0080
ETH-USD,0.975,NN-GARCH,76,7.9000,0.2405,224.2113,0.0000,0.9292,0.3351,225.1405,0.0000,13.3257,0.0000
DJIA,0.975,NN-GARCH,11,6.9750,0.0394,2.0322,0.1540,0.9066,0.3410,2.9388,0.2301,0.3427,0.3640
SP500,0.975,NN-GARCH,9,6.9750,0.0323,0.5532,0.4570,1.1696,0.2795,1.7228,0.4226,0.2071,0.5640
GOLD,0.975,NN-GARCH,21,6.9750,0.0753,18.9778,0.0000,3.4357,0.0638,22.4135,0.0000,2.9544,0.0000
OIL,0.975,NN-GARCH,46,6.9750,0.1649,101.3778,0.0000,1.0144,0.3138,102.3922,0.0000,8.7598,0.0000
Combined (Fisher),0.975,NN-GARCH,—,—,—,—,0.0258,—,0.1467,—,0.0575,—,0.0459
BTC-USD,0.975,TCN,7,10.7750,0.0162,1.5454,0.2138,0.2317,0.6303,1.7771,0.4113,-0.2837,0.3660
ETH-USD,0.975,TCN,12,7.9000,0.0380,1.8879,0.1694,3.2582,0.0711,5.1461,0.0763,0.6042,0.1140
DJIA,0.975,TCN,8,6.9750,0.0287,0.1476,0.7008,0.4741,0.4911,0.6217,0.7328,-0.0120,0.9800
SP500,0.975,TCN,4,6.9750,0.0143,1.5341,0.2155,0.1168,0.7325,1.6509,0.4380,-0.4177,0.2740
GOLD,0.975,TCN,20,6.9750,0.0717,16.7199,0.0000,0.1714,0.6789,16.8913,0.0002,2.7307,0.0000
OIL,0.975,TCN,17,6.9750,0.0609,10.6140,0.0011,0.0017,0.9668,10.6157,0.0050,1.7680,0.0000
Combined (Fisher),0.975,TCN,—,—,—,—,0.0075,—,0.6946,—,0.0002,—,0.3437
BTC-USD,0.975,Transformer,8,10.7750,0.0186,0.8037,0.3700,0.3033,0.5818,1.1070,0.5749,-0.2567,0.4260
ETH-USD,0.975,Transformer,14,7.9000,0.0443,3.9430,0.0471,2.2155,0.1366,6.1585,0.0460,0.7800,0.0580
DJIA,0.975,Transformer,9,6.9750,0.0323,0.5532,0.4570,0.6023,0.4377,1.1555,0.5611,0.0806,0.7940
SP500,0.975,Transformer,4,6.9750,0.0143,1.5341,0.2155,0.1168,0.7325,1.6509,0.4380,-0.3999,0.2960
GOLD,0.975,Transformer,21,6.9750,0.0753,18.9778,0.0000,0.2863,0.5926,19.2641,0.0001,2.6397,0.0000
OIL,0.975,Transformer,14,6.9750,0.0502,5.6413,0.0175,0.1226,0.7262,5.7639,0.0560,1.2438,0.0060
Combined (Fisher),0.975,Transformer,—,—,—,—,0.0223,—,0.7007,—,0.0006,—,0.0246
