,n_exc@0.99,n_exp@0.99,ExcRate@0.99,LR_uc@0.99,p_uc@0.99,KupiecPass@0.99,LR_ind@0.99,p_ind@0.99,LR_cc@0.99,p_cc@0.99,ChristoffersenPass@0.99,VaR_t_mean@0.99,ES_t_mean@0.99,ES_Z2@0.99,ES_p@0.99,n_exc@0.975,n_exp@0.975,ExcRate@0.975,LR_uc@0.975,p_uc@0.975,KupiecPass@0.975,LR_ind@0.975,p_ind@0.975,LR_cc@0.975,p_cc@0.975,ChristoffersenPass@0.975,VaR_t_mean@0.975,ES_t_mean@0.975,ES_Z2@0.975,ES_p@0.975
ARCH(1),2,2.79,0.0072,0.2507,0.6166,Yes,0.0290,0.8648,0.2797,0.8695,Yes,2.701015,3.573945,-0.3686,0.6400,3,6.98,0.0108,2.9455,0.0861,Yes,0.0655,0.7981,3.0110,0.2219,Yes,2.063395,2.826755,-0.5530,0.1180
Constant (unconditional variance),0,2.79,0.0000,5.6081,0.0179,No,0.0000,1.0000,5.6081,0.0606,Yes,3.026156,4.004168,-1.0000,0.1300,2,6.98,0.0072,5.0437,0.0247,No,0.0290,0.8648,5.0727,0.0792,Yes,2.311781,3.167033,-0.7506,0.0140
"EGARCH(1,1)",4,2.79,0.0143,0.4673,0.4942,Yes,0.1168,0.7325,0.5841,0.7467,Yes,2.188519,2.895818,0.7863,0.2240,6,6.98,0.0215,0.1466,0.7018,Yes,0.2647,0.6069,0.4113,0.8141,Yes,1.671882,2.290401,0.1325,0.6680
"FIGARCH(1,d,1)",4,2.79,0.0143,0.4673,0.4942,Yes,0.1168,0.7325,0.5841,0.7467,Yes,2.038500,2.697315,0.8369,0.1980,7,6.98,0.0251,0.0001,0.9924,Yes,0.3617,0.5476,0.3618,0.8345,Yes,1.557278,2.133398,0.2711,0.4540
"GARCH(1,1)",4,2.79,0.0143,0.4673,0.4942,Yes,0.1168,0.7325,0.5841,0.7467,Yes,2.131886,2.820882,0.8536,0.1980,6,6.98,0.0215,0.1466,0.7018,Yes,0.2647,0.6069,0.4113,0.8141,Yes,1.628618,2.231131,0.1637,0.6300
"GJR-GARCH(1,1)",4,2.79,0.0143,0.4673,0.4942,Yes,0.1168,0.7325,0.5841,0.7467,Yes,2.127081,2.814524,0.7697,0.2260,8,6.98,0.0287,0.1476,0.7008,Yes,0.4741,0.4911,0.6217,0.7328,Yes,1.624948,2.226103,0.3553,0.3520
HAR,3,2.79,0.0108,0.0156,0.9007,Yes,0.0655,0.7981,0.0811,0.9603,Yes,2.261850,2.992849,0.2096,0.6860,6,6.98,0.0215,0.1466,0.7018,Yes,0.2647,0.6069,0.4113,0.8141,Yes,1.727902,2.367146,-0.0398,0.9580
LSTM-SSE-t-Student,2,2.79,0.0072,0.2507,0.6166,Yes,0.0290,0.8648,0.2797,0.8695,Yes,2.651072,3.507862,-0.4365,0.4580,3,6.98,0.0108,2.9455,0.0861,Yes,0.0655,0.7981,3.0110,0.2219,Yes,2.025242,2.774487,-0.6051,0.0900
