Date,eps
2017-11-10,-7.059114357594121
2017-11-11,4.9469301510621175
2017-11-12,-2.255921010377187
2017-11-13,2.7403694545974338
2017-11-14,6.314734797226117
2017-11-15,-1.3540433453235363
2017-11-16,-0.812598253445097
2017-11-17,0.3631487484542201
2017-11-18,4.396507754215621
2017-11-19,1.8498975603159005
2017-11-20,3.343844989521887
2017-11-21,-1.820939585037652
2017-11-22,5.386750338734527
2017-11-23,7.3875539871016445
2017-11-24,14.576473462766131
2017-11-25,-1.9150491656750237
2017-11-26,0.9979935013695337
2017-11-27,1.8166193058801936
2017-11-28,-1.6438027400304656
2017-11-29,-10.168087036996042
2017-11-30,4.400472759733912
2017-12-01,4.172936705062129
2017-12-02,-0.7448208736046503
2017-12-03,0.4372982699690059
2017-12-04,0.8495750920129413
2017-12-05,-1.5633656843766672
2017-12-06,-7.863846650146567
2017-12-07,1.2687259802598323
2017-12-08,4.777585546620675
2017-12-09,3.6794577326589115
2017-12-10,-7.027847309353713
2017-12-11,15.295165053293104
2017-12-12,23.393982450543653
2017-12-13,7.505312662589684
2017-12-14,-1.0741000326569865
2017-12-15,-1.727334281491543
2017-12-16,1.6236422488903552
2017-12-17,3.276578855273773
2017-12-18,9.787825679572563
2017-12-19,3.8894357976834453
2017-12-20,-1.0202347047585416
2017-12-21,0.16099587148233568
2017-12-22,-19.689537422875322
2017-12-23,6.3093466942904906
2017-12-24,-3.6515071267629864
2017-12-25,9.747942009106264
2017-12-26,0.9593760718424899
2017-12-27,-1.5109843221656696
2017-12-28,-3.5232579610098846
2017-12-29,2.1431181163545387
2017-12-30,-5.021762661959689
2017-12-31,5.277541767969589
2018-01-01,2.0003273367183962
2018-01-02,13.434387319570655
2018-01-03,8.400262972777464
2018-01-04,1.7929575121334123
2018-01-05,1.617891719440245
2018-01-06,4.231669196938271
2018-01-07,10.087907743149186
2018-01-08,-0.48326071945603016
2018-01-09,12.288056105768886
2018-01-10,-3.517632059915098
2018-01-11,-8.454970687416601
2018-01-12,9.669280894059712
2018-01-13,9.157768553258448
2018-01-14,-2.226233048195726
2018-01-15,-5.7121574828043595
2018-01-16,-20.46320709034651
2018-01-17,-3.89495970506332
2018-01-18,2.0687196205738583
2018-01-19,0.19167379665748857
2018-01-20,10.507450987296318
2018-01-21,-9.664097107970713
2018-01-22,-4.593612137644593
2018-01-23,-1.7922189870175866
2018-01-24,7.01832388656104
2018-01-25,-0.3401494392417051
2018-01-26,-0.16154752309236464
2018-01-27,4.721411758936428
2018-01-28,11.742883012389584
2018-01-29,-5.323481165383052
2018-01-30,-9.959904475918723
2018-01-31,4.230371245501275
2018-02-01,-7.64900169194112
2018-02-02,-12.49039130766261
2018-02-03,5.05286070253025
2018-02-04,-14.486094959129526
2018-02-05,-17.970272509770567
2018-02-06,12.702739746616144
2018-02-07,-4.732478556187728
2018-02-08,7.637252060748972
2018-02-09,7.68771626396752
2018-02-10,-2.7690306090723853
2018-02-11,-5.544477668965509
2018-02-12,6.343426309360939
2018-02-13,-2.8164750516944346
2018-02-14,8.77941349443536
2018-02-15,1.36200732718486
2018-02-16,0.6890153431231115
2018-02-17,3.037994760721145
2018-02-18,-5.370355066754401
2018-02-19,2.0555758198109264
2018-02-20,-5.354579775697166
2018-02-21,-5.283667142394114
2018-02-22,-4.546262415089261
2018-02-23,6.0450334852962975
2018-02-24,-2.8577494742536054
2018-02-25,0.42961439238114696
2018-02-26,2.77930143419968
2018-02-27,0.9442052538622184
2018-02-28,-2.7415012947083577
2018-03-01,1.8883822148870608
2018-03-02,-1.8553148747710269
2018-03-03,-0.03667943448252432
2018-03-04,1.016630142138225
2018-03-05,-1.5907147453369146
2018-03-06,-4.478280924627248
2018-03-07,-8.253913175879125
2018-03-08,-6.7016944447856925
2018-03-09,3.3133133223831237
2018-03-10,-6.018512274049842
2018-03-11,5.09030062543324
2018-03-12,-3.383989538528974
2018-03-13,-1.375018601031385
2018-03-14,-11.822147267085013
2018-03-15,-0.567516242431087
2018-03-16,-1.6692693321763725
2018-03-17,-8.55450182938931
2018-03-18,-2.670421806589611
2018-03-19,3.2217598238352374
2018-03-20,0.0005343675373825768
2018-03-21,0.7344719917405801
2018-03-22,-4.080846058365498
2018-03-23,-0.09546014213485221
2018-03-24,-2.5528641347239893
2018-03-25,-0.48970810312561014
2018-03-26,-6.853464346138494
2018-03-27,-8.560082837807512
2018-03-28,-0.9361809532219207
2018-03-29,-14.599065397971152
2018-03-30,2.1431381280305053
2018-03-31,0.37802027793226
2018-04-01,-4.423188178505366
2018-04-02,1.7000489016255622
2018-04-03,7.509105203124992
2018-04-04,-9.203121539388803
2018-04-05,0.6240571159201358
2018-04-06,-3.516833316134823
2018-04-07,3.8984798411655386
2018-04-08,3.787436955911918
2018-04-09,-0.5761773700033967
2018-04-10,3.7879256083601636
2018-04-11,3.778668220547983
2018-04-12,13.454846957483229
2018-04-13,-0.12188228521171132
2018-04-14,1.6787470723470723
2018-04-15,5.772271334488177
2018-04-16,-4.022679188882711
2018-04-17,-1.7078575764109982
2018-04-18,4.1816056219053
2018-04-19,7.812887028919258
2018-04-20,8.006237182668471
2018-04-21,-1.7708711794845073
2018-04-22,2.603300709772806
2018-04-23,3.192573109944537
2018-04-24,9.6424993241172
2018-04-25,-14.116956017090516
2018-04-26,7.3387622052969075
2018-04-27,-2.489195729436365
2018-04-28,5.42905034171235
2018-04-29,0.6780713410242172
2018-04-30,-2.8705011757131236
2018-05-01,0.46906500795480677
2018-05-02,1.909462146466101
2018-05-03,12.535596767153821
2018-05-04,0.6969661001338989
2018-05-05,3.728227413566198
2018-05-06,-3.040822470256137
2018-05-07,-5.072719779008521
2018-05-08,-0.19530385639746078
2018-05-09,-0.15741011006377342
2018-05-10,-3.459537563343819
2018-05-11,-6.862439143796209
2018-05-12,0.8662984060963342
2018-05-13,6.607376140981105
2018-05-14,-0.4826570546127985
2018-05-15,-3.092358458707155
2018-05-16,-0.33729426863137163
2018-05-17,-5.066663869543237
2018-05-18,3.0964343606285625
2018-05-19,0.23094748024216372
2018-05-20,2.588682601081315
2018-05-21,-2.36310392447069
2018-05-22,-7.727808521723758
2018-05-23,-10.510160318287888
2018-05-24,2.98594558557438
2018-05-25,-2.6079599908467186
2018-05-26,0.012939065094530439
2018-05-27,-2.599635006709749
2018-05-28,-10.493042941893844
2018-05-29,9.05348841269088
2018-05-30,-1.1108587821865084
2018-05-31,3.09543196749344
2018-06-01,0.33419765781453925
2018-06-02,1.9279153277397858
2018-06-03,4.303762864104499
2018-06-04,-4.26523527829722
2018-06-05,2.634578024719015
2018-06-06,-0.438334005541023
2018-06-07,-0.39963581685654137
2018-06-08,-0.7615217101725883
2018-06-09,-0.6665812823948686
2018-06-10,-12.744739811761093
2018-06-11,1.204187016167175
2018-06-12,-7.15808406486611
2018-06-13,-4.052327198444303
2018-06-14,8.398018716399607
2018-06-15,-5.768105968585588
2018-06-16,1.663878207338359
2018-06-17,0.08110682475286511
2018-06-18,3.538934499954275
2018-06-19,3.5283964494898297
2018-06-20,-0.3945316373857621
2018-06-21,-1.753812348933911
2018-06-22,-12.490467248293806
2018-06-23,1.771013382802191
2018-06-24,-3.6951766247972055
2018-06-25,0.494661974860259
2018-06-26,-6.248991903359602
2018-06-27,2.112348676235365
2018-06-28,-4.706625164142101
2018-06-29,3.099225895583035
2018-06-30,4.222925097557419
2018-07-01,-0.35771522025813524
2018-07-02,4.5327681875743595
2018-07-03,-2.4541080013270773
2018-07-04,0.5904428595577951
2018-07-05,1.426537567184815
2018-07-06,-0.1644278341356608
2018-07-07,3.575401766421408
2018-07-08,-0.5982425498139314
2018-07-09,-2.65569595052022
2018-07-10,-9.362936122971135
2018-07-11,2.6657896966726473
2018-07-12,-3.8323212809172333
2018-07-13,0.8348677331597106
2018-07-14,0.39319189840257646
2018-07-15,3.027395263323489
2018-07-16,6.5440982676878665
2018-07-17,4.06533581443015
2018-07-18,-4.2556623697291105
2018-07-19,-2.3733368575859575
2018-07-20,-4.192500092829404
